2025-04-13 17:33:10,342 - Scanned: C:/Users/USER/OneDrive/Documents/Desktop/Anomaly Detection.png, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:42:24,022 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:42:40,319 - Scanned: assignment_description (2).pdf, Threat Type: Missing, Risk Level: N/A, Action: File not found, Additional Info: 
2025-04-13 17:48:47,762 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:48:54,242 - Scanned: assignment_description (2).pdf, Threat Type: Missing, Risk Level: N/A, Action: File not found, Additional Info: 
2025-04-13 17:50:49,420 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:50:57,528 - Scanned: assignment_description (2).pdf, Threat Type: Missing, Risk Level: N/A, Action: File not found, Additional Info: 
2025-04-13 17:53:31,372 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:53:46,469 - Scanned: C:\Users\USER\OneDrive\Documents\FYP 2\assignment_description (2).pdf, Threat Type: Missing, Risk Level: N/A, Action: File not found, Additional Info: 
2025-04-13 17:54:23,254 - Scanned: C:/Users/USER/OneDrive/Documents/FYP 2/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:54:28,997 - Scanned: C:\Users\USER\OneDrive\Documents\FYP 2\assignment_description (2).pdf, Threat Type: Deleted, Risk Level: N/A, Action: Deleted, Additional Info: 
2025-04-13 17:57:01,191 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-13 17:57:06,015 - Scanned: C:\Users\USER\OneDrive\Documents\FYP 2\assignment_description (2).pdf, Threat Type: Missing, Risk Level: N/A, Action: File not found, Additional Info: 
2025-04-18 00:32:09,471 - Scanned: C:/Users/USER/Downloads/Lab A02 Ori copy.cv, Threat Type: Recently Modified, Risk Level: Medium, Action: Scanned, Additional Info: 
2025-04-18 00:32:09,474 - Scanned: C:/Users/USER/Downloads/Tutorial 1 (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:32:09,476 - Scanned: C:/Users/USER/Downloads/Lab2.pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:32:09,479 - Scanned: C:/Users/USER/Downloads/obito.jpg, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
2025-04-18 00:32:09,481 - Scanned: C:/Users/USER/Downloads/Assignment_Description (2).pdf, Threat Type: No Threat, Risk Level: Low, Action: Scanned, Additional Info: 
